"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-116114"	-0.879158993280397	-1.59402209707635	5.9280480811569	49.3820058946829	1.35155279970547e-14	1.2663554195217e-12	"gene-116114"
"gene-258523"	1.62138413399784	3.17655119810027	4.52378987470005	49.3626109804022	1.36318929343234e-14	1.2663554195217e-12	"gene-258523"
"gene-31907"	2.79300347708193	4.12492439800717	3.53012585547912	49.3440942147382	1.37439480223666e-14	1.2663554195217e-12	"gene-31907"
"gene-154029"	0.0421711421693753	3.50488965242408	2.28568351825659	49.3018883630185	1.40029029932531e-14	1.27909275962508e-12	"gene-154029"
"gene-149727"	-0.528536943625991	-0.844888300549882	5.56458074250046	48.9844696715838	1.61179464462302e-14	1.4597073550791e-12	"gene-149727"
"gene-206576"	0.260695972686718	3.17878895490609	2.78109247001847	48.7368975753541	1.7993323188707e-14	1.61573942803e-12	"gene-206576"
"gene-187601"	-0.596402098138066	-0.803681064685145	5.62299810928043	48.689771686995	1.83749342456813e-14	1.63614120392638e-12	"gene-187601"
"gene-244065"	-0.811672484499509	-2.06318437658617	6.06193397669361	48.5934080417811	1.91813118345462e-14	1.69370983499043e-12	"gene-244065"
"gene-205849"	-1.16372757975099	-2.16065789559558	8.28978849437867	48.4084375957326	2.0832403594463e-14	1.82429874782586e-12	"gene-205849"
"gene-21635"	-1.22075890940822	-1.76938416568116	5.33436546688194	48.3483815106459	2.13992736242673e-14	1.85857953543226e-12	"gene-21635"
"gene-240184"	-0.974954538714448	-1.962099020447	7.87327276424545	48.2480309110889	2.23820355665238e-14	1.92813047856005e-12	"gene-240184"
"gene-169360"	-0.628916474093524	-0.715491633978061	5.38137943994805	47.9981564813331	2.5035353553566e-14	2.13931134075472e-12	"gene-169360"
"gene-300876"	3.31641705097547	4.7498744364349	3.80481190055274	47.8853029257891	2.63374490772375e-14	2.23257288337927e-12	"gene-300876"
"gene-208432"	1.51777171053066	2.72963720720001	4.75459721734964	47.7946929291208	2.74330573316146e-14	2.30698948798244e-12	"gene-208432"
"gene-63245"	-3.58741899433236	-4.74267749430743	4.83641408465709	47.6204355867522	2.96733793311919e-14	2.47574116057724e-12	"gene-63245"
"gene-404013"	1.00377968601666	1.43567466988551	3.8537509247751	47.5877132271714	3.01145691500195e-14	2.49292167745005e-12	"gene-404013"
"gene-197659"	2.26020542982373	3.69093415658732	4.57469747648567	47.4857078852184	3.15335571961537e-14	2.59015172132127e-12	"gene-197659"
"gene-14156"	-0.694835751635337	-0.937325724472393	6.78510908069202	47.4311606572009	3.23203186984947e-14	2.63435459176346e-12	"gene-14156"
"gene-255088"	-0.453299665170152	-0.988281873711293	8.78223645816872	47.2544749113082	3.5009779966573e-14	2.83178342386112e-12	"gene-255088"
"gene-147246"	1.98345545298382	2.10433456959816	7.82265003990465	47.2007791060412	3.58717990917731e-14	2.87952714527597e-12	"gene-147246"
